"title","year","actors","directors","country","language","description"
"The Littlest Rebel",1935,"John Boles Jack Holt Karen Morley Bill Robinson Shirley Temple","David Butler","United States","English","The film opens in the ballroom of the Cary plantation on Virgie’s (Shirley Temple) sixth birthday. A family slave, Uncle Billy (Bill Robinson), dances for her party guests, but the celebration is brought abruptly to an end when a messenger arrives with news of the assault on Fort Sumter and a declaration of war. Virgie’s father (John Boles) is ordered to the Armory with horse and side-arms. He becomes a scout for the Confederate Army, crossing enemy lines to gather information. On these expeditions, he sometimes briefly visits his family at their plantation behind Union lines."
"Little Lord Fauntleroy",1936,"Freddie Bartholomew Dolores Costello C. Aubrey Smith","John Cromwell","United States","English","Young Cedric ""Ceddie"" Errol (Freddie Bartholomew) and his widowed mother, whom he calls ""Dearest"" (Dolores Costello), live frugally in 1880s Brooklyn after the death of his father. Cedric's prejudiced English grandfather, the Earl of Dorincourt (C. Aubrey Smith), had long ago disowned his son for marrying an American."
"Heidi",1937,"Shirley Temple Jean Hersholt Arthur Treacher Mary Nash Marcia Mae Jones Sidney Blackmer","Allan Dwan","United States","English","Adelheid, called Heidi (Shirley Temple), is an eight-year-old Swiss orphan who is given by her aunt to her mountain-dwelling grandfather (Jean Hersholt). She is then stolen back by her aunt from her grandfather to live in the wealthy Sesemann household in Frankfurt am Main as a companion to Klara (Marcia Mae Jones), a sheltered, disabled girl in a wheelchair. Heidi is unhappy but makes the best of the situation, always longing for her grandfather. When Klara's body and spirits mend under Heidi's cheerful companionship, the housekeeper (who has tried to keep Klara dependent upon her) tries to get rid of Heidi by selling her to the gypsies but she is stopped by the police. Heidi is rescued and reunited with her grandfather."
"Wee Willie Winkie",1937,"Shirley Temple Victor Mc Laglen C. Aubrey Smith Cesar Romero June Lang","John Ford","United States","English","During the British Raj, Sergeant Donald Mac Duff escorts Joyce Williams, an impoverished widow, and her young daughter, Priscilla, to a remote military outpost on the northern frontier of India, to live with her stern father-in-law, Colonel Williams. Along the way, they witness the capture of notorious rebel chief Khoda Khan. Soon, Priscilla, nicknamed 'Wee Willie Winkie' by Mac Duff, wins the hearts of all the soldiers, especially her grandfather and Mac Duff; even Khoda Khan is touched by her visits to cheer him up in his captivity. Meanwhile, her mother is courted by Lieutenant Brandes."
"Snow White and the Seven Dwarfs",1937,"Adriana Caselotti Lucille La Verne Harry Stockwell Roy Atwell Pinto Colvig Otis Harlan Scotty Mattraw Billy Gilbert Eddie Collins Moroni Olsen Stuart Buchanan","David Hand (supervising)William Cottrell Wilfred Jackson Larry Morey Perce Pearce Ben Sharpsteen","United States","English","Snow White is a lonely princess living with her stepmother, a vain and wicked Queen. The Queen fears that Snow White's beauty surpasses her own, so she forces Snow White to work as a scullery maid and asks her Magic Mirror daily ""who is the fairest one of all"". For several years the mirror always answered that the Queen was, pleasing her."
"The Tale of the Fox",1937,"Claude Dauphin Romain Bouquet Laine Sylvain Itkine Léon Larive","Irene Starevich Ladislas Starevich","France","German (1937)French (1941)","In the kingdom of animals, the fox Renard is used to tricking and fooling everyone. Consequently, the King (a lion), receives more and more complaints. Finally, he orders Renard to be arrested and brought before the throne."
"The Adventures of Tom Sawyer",1938,"Tommy Kelly Jackie Moran May Robson Ann Gillis","Norman Taurog H. C. Potter (fired, uncredited)George Cukor (uncredited)William A. Wellman (uncredited)","United States","English","The United Artists release includes most of the sequences familiar to readers of the book, including the fence-whitewashing episode; a wild raft ride down the Mississippi River; Tom and Huckleberry Finn's attendance at their own funeral, after the boys, who were enjoying an adventure on a remote island, are presumed dead; the murder trial of local drunkard Muff Potter; and Tom and Becky Thatcher's flight through a cave as they try to escape from Injun Joe, who is revealed to be the real killer."
"Alarm",1938,"Lau Lauritzen Jr.","Lau Lauritzen Jr.Alice O'Fredericks","Denmark","Danish",NA
"Rebecca of Sunnybrook Farm",1938,"Shirley Temple Randolph Scott Gloria Stuart Helen Westley Bill Robinson William Demarest Jack Haley","Allan Dwan","United States","English","Rebecca Winstead (Shirley Temple), a musically talented orphan, is under the guardianship of her stepfather Harry Kipper (William Demarest). She auditions for the radio role of Little Miss America and wins it, but leaves the studio believing she lost it. Kipper regards her as a loser and a burden, and dumps her on the farm of her Aunt Miranda."
"Gulliver's Travels",1939,"Pinto Colvig Jack Mercer Sam Parker Jessica Dragonette Lanny Ross Tedd Pierce","Dave Fleischer)Animation directors Seymour Kneitel Willard Bowsky Tom Palmer Grim Natwick William Henning Roland Crandall Thomas Johnson Robert Leffingwell Frank Kelling Winfield Hoskins Orestes Calpini","United States","English","On November 5, 1699, Lemuel Gulliver washes onto the beach of Lilliput, after a storm at sea and ultimate shipwreck. Following the calm of the storm, the Town Crier 'Gabby' stumbles across Gulliver and rushes to warn King Little. But Little and King Bombo of Blefescu are signing a wedding contract between their children, Princess Glory of Lilliput and Prince David of Blefuscu. All is fine until an argument starts over which national anthem is to be played at the wedding. The argument cancels the wedding and starts a war."
"The Little Princess",1939,"Shirley Temple Richard Greene Anita Louise Ian Hunter Arthur Treacher Cesar Romero","Walter Lang","United States","English","Captain Crewe (played by Ian Hunter), called to fight in the Second Boer War, has to leave his daughter Sara (Shirley Temple) with her pony at Miss Minchin's School for Girls. With all the money Captain Crewe can offer, Miss Minchin gives Sara a fancy, private room."
"The Wizard of Oz",1939,"Judy Garland Frank Morgan Ray Bolger Bert Lahr Jack Haley Billie Burke Margaret Hamilton Charley Grapewin","Victor Fleming King Vidor George Cukor Norman Taurog","United States","English","The film begins in Kansas, which is depicted in a sepia tone. Dorothy Gale lives with her dog, Toto, on her Aunt Em and Uncle Henry's farm. Toto gets in trouble with a mean neighbor, Miss Almira Gulch, when he bites her. However, Dorothy's family and the farmhands are all too busy to listen to her troubles. Miss Gulch produces an order from the sheriff allowing her to have Toto put down. She takes him away, but he escapes and returns to Dorothy who, fearing that Miss Gulch will return, decides to run away from home."
"The Blue Bird",1940,"Shirley Temple Spring Byington Nigel Bruce","Walter Lang","United States","English","The setting is Germany during the Napoleonic Wars. Mytyl (Shirley Temple), the bratty and ungrateful daughter of a woodcutter (Russell Hicks), finds a unique bird in the Royal Forest and selfishly refuses to give it to her sick friend. Mother (Spring Byington) and Father are mortified at Mytyl's behavior. That evening, Father is called on to report for military duty the next morning. That same night, Mytyl is visited in a dream by a fairy named Berylune (Jessie Ralph) who sends her and her brother Tyltyl (Johnny Russell) to search for the Blue Bird of Happiness. To accompany them, the fairy magically transforms their dog Tylo (Eddie Collins), cat Tylette (Gale Sondergaard), and lantern (""Light"") into human form. The children have a number of adventures: they visit the past (meeting their dead grandparents who come to life because they are being remembered), have a scary adventure in the forest, experience the life of luxury, and see the future, a land of yet-to-be born children. The dream journey makes Mytyl awake as a kinder and gentler girl who has learned to appreciate all the comforts and joys of her home and family. In the morning, Father receives word that a truce has been called and he does not have to go to war."
"Pinocchio",1940,"Cliff Edwards Dickie Jones Christian Rub Mel Blanc Walter Catlett Charles Judels Evelyn Venable Frankie Darro","Supervising Directors Ben Sharpsteen Hamilton Luske Sequence Directors Bill Roberts Norman Ferguson Jack Kinney Wilfred Jackson T. Hee","United States","English","Jiminy Cricket explains that he is going to tell a story of a wish coming true. His story begins in the workshop of a woodworker named Geppetto. Jiminy watches as Geppetto finishes work on a wooden marionette whom he names Pinocchio. Before falling asleep, Geppetto makes a wish on a star that Pinocchio be a real boy. During the night, a Blue Fairy visits the workshop and brings Pinocchio to life, although he still remains a puppet. She informs him that if he proves himself brave, truthful, and unselfish, he will become a real boy, and assigns Jiminy to be his conscience."
"The Thief of Bagdad",1940,"Conrad Veidt Sabu John Justin June Duprez Rex Ingram","Michael Powell Ludwig Berger Tim Whelan Uncredited:Alexander Korda Zoltan Korda William Cameron Menzies","United Kingdom","English","Ahmad (John Justin), the naive sultan of Bagdad, is convinced by his evil Grand Vizier Jaffar (Conrad Veidt) to go out into the city disguised as a poor man to get to know his subjects (in the manner of his grandfather Harun al-Rashid). Jaffar then has Ahmad thrown into a dungeon, where he encounters the young thief Abu (Sabu), who arranges their escape. They flee to Basra, where Ahmad meets its Princess (June Duprez). Jaffar journeys to Basra, for he too desires the Princess. Her father, the Sultan (Miles Malleson), is fascinated by the magical mechanical flying horse that Jaffar, a skilled sorcerer, offers; he agrees to the proposed marriage. Upon hearing this, the Princess, now deeply in love with Ahmad, runs away. Confronted by Ahmad, Jaffar magically blinds him and turns Abu into a dog; the spell can only be broken if Jaffar holds the Princess in his arms."
"Dumbo",1941,"Edward Brophy Herman Bing Margaret Wright Sterling Holloway Verna Felton Cliff Edwards","Supervising director:Ben Sharpsteen Sequence directors:Norman Ferguson Wilfred Jackson Bill Roberts Jack Kinney Samuel Armstrong","United States","English","A flock of storks deliver babies while circus animals are being transported by train from their ""Winter Quarters"".[5] Mrs. Jumbo, one of the elephants, receives her baby, who is soon tormented by the other female elephants, who are Prissy, Catty, Giddy, and Matriarch, because of his large ears, and they nickname him ""Dumbo"". After locking the four elephants, Mrs. Jumbo starts to cuddle Dumbo."
"Mr. Bug Goes to Town",1941,"Kenny Gardner Gwen Williams Jack Mercer Tedd Pierce Carl Meyer Stan Freed Pauline Loth Pinto Colvig (uncredited)Jean Rhys (uncredited)Mae Questel (uncredited)The Four Marshalls The Royal Guards","Dave Fleischer Shamus Culhane(uncredited)","United States","English","Hoppity the Grasshopper, after a period spent away, returns to an American city (Manhattan, New York). He finds that all is not as he left it, and his insect friends (who live in the ""Lowlands"" just outside of the garden of a cute bungalow belonging to down-on-his-luck songwriter Dick Dickens and his wife Mary) are now under threat from the ""human ones,"" who are trampling through the broken-down fence, using it as a shortcut."
"Bambi",1942,NA,"Supervising director David Hand Sequence directors James Algar Samuel Armstrong Graham Heid Bill Roberts Paul Satterfield Norman Wright","United States","English","A doe gives birth to a fawn named Bambi, who will one day take over the position of Great Prince of the Forest, a title currently held by Bambi's father, who guards the woodland creatures from the dangers of hunters. The fawn is quickly befriended by an eager, energetic rabbit named Thumper, who helps to teach him to walk and speak. Bambi grows up very attached to his mother, with whom he spends most of his time. He soon makes other friends, including a young skunk named Flower and a female fawn named Faline. Curious and inquisitive, Bambi frequently asks about the world around him and is cautioned about the dangers of life as a forest creature by his loving mother. One day out in a meadow, Bambi briefly sees The Great Prince but does not realize that he is his father. As the great prince wanders uphill, he discovers the human hunter named ""Man"" by all the animals is coming and rushes down to the meadow to get everyone to safety. Bambi is briefly separated from his mother during that scene but is escorted to her by the Great Prince as the three of them make it back in the forest just as Man fires his gun."
"Jungle Book",1942,"Sabu Dastagir","Zoltan Korda","United Kingdom United States","English","In an Indian village, Buldeo, an elderly storyteller, is paid by a visiting British memsahib to tell a story of his youth. He speaks of the animals of the jungle and of the ever-present threats to human life posed by the jungle itself. He then recalls his earlier life:"
"Saludos Amigos",1942,"Lee Blair Mary Blair Pinto Colvig Walt Disney Norman Ferguson Frank Graham Clarence Nash José Oliveira Frank Thomas","Norman Ferguson Wilfred Jackson Jack Kinney Hamilton Luske Bill Roberts","United States","English Portuguese",NA
"Lassie Come Home",1943,"Pal (credited as ""Lassie"")Roddy Mc Dowall Donald Crisp Dame May Whitty Edmund Gwenn Nigel Bruce Elsa Lanchester Elizabeth Taylor","Fred M. Wilcox","United States","English","Set in Depression-era Yorkshire, England, Mr. and Mrs. Carraclough (Donald Crisp and Elsa Lanchester) are hit by hard times and forced to sell their collie, Lassie (Pal), to the rich Duke of Rudling (Nigel Bruce), who has always admired her. Young Joe Carraclough (Roddy Mc Dowall) grows despondent at the loss of his companion."
"My Friend Flicka",1943,"Roddy Mc Dowell Preston Foster Rita Johnson","Harold D. Schuster","United States","English","Wyoming ranchers Rob (Preston Foster) and Nell Mc Laughlin (Rita Johnson) somewhat reluctantly decide to give their 10-year-old son, Ken (Roddy Mc Dowall), a chance to raise a horse and learn about responsibility. He chooses a one-year-old filly and names her Flicka, which ranch hand Gus (James Bell) informs him is a Swedish word for ""girl."""
"National Velvet",1944,"Mickey Rooney Donald Crisp Elizabeth Taylor Angela Lansbury Anne Revere Reginald Owen Terry Kilburn","Clarence Brown","United States","English","National Velvet is the story of a 14-year-old horse-crazy girl, Velvet Brown (Elizabeth Taylor), who lives in the small town of Sewels in Sussex, England, who wins a spirited gelding in a raffle and decides to train him for the Grand National steeplechase. She is aided by a penniless young drifter named Mi Taylor (Mickey Rooney), who found Mrs. Brown's name and address among his late father's effects, but is unaware of what it was doing there. Hoping to gain some money from the association, Mi stays at the Browns' home, but Mrs. Brown is unwilling to allow Mi to trade on his father's good name and remains vague about how she knew him. Nevertheless she convinces her husband (Donald Crisp) to hire Mi over his better judgment, and Mi is brought into the home as a hired hand. It is revealed that Mi had been a jockey in Manchester, but his career ended in a collision which resulted in the death of another jockey. Since then Mi has not held a job, and he has come to hate horses. Velvet decides to call the horse ""The Pie"" after his owner, Mr. Ede, calls him a pirate. The man decides to be rid of The Pie, and offers him up in a raffle. Velvet wins The Pie, and on realizing the extent of the horse's natural talent, she pleads with Mi to train the horse for the Grand National. He believes it a fool's errand, not because of the horse, but because they have no real way to support the effort. He makes his case to Mrs. Brown, but she consents to Velvet's desire to train the horse. Velvet and Mi train the horse and enter him into the race. An experienced jockey is hired to ride him. The night before the race Velvet senses that the jockey hired to ride The Pie has no faith in him, and doesn't believe the horse can win. Velvet convinces Mi to fire the jockey, leaving them without a rider. That night Mi determines to overcome his fears and ride The Pie himself. Instead, he discovers that Velvet has slipped on the jockey's colors, and intends to ride the horse in the race herself. Aware of the dangers of such a race, Mi tries to reason with Velvet, but is unable to talk her out of it. As the race unfolds Velvet and The Pie avoid a number of falls, clear all the hurdles and win the race. Elated by their win, Velvet faints and falls off her mount at the finish. As she is revived the race doctor realizes she is not a boy, but a girl. As she dismounted before getting the horse back to the paddock, she and The Pie are disqualified, but Velvet knows The Pie proved himself. Velvet becomes a media sensation. She is offered £5,000 to travel to Hollywood with The Pie to be filmed. Velvet tearfully refuses the offer claiming that The Pie wouldn't like being stared at. Velvet then says that she ran The Pie at the Grand National because he deserved to have a chance. Velvet chooses to have a normal life with The Pie. At the close of the film Mi takes his leave, and Mrs. Brown gives Velvet permission to reveal to him the nature of her relationship with his father. Velvet rides off to catch up with Mi and tell him that his father had been Mrs. Brown's coach when she won the prize as the first woman to swim the English Channel, many years before."
"The Enchanted Forest",1945,"Edmund Lowe Brenda Joyce William Severn Harry Davenport","Lew Landers","United States","English","A hermit, Uncle John, communicates with animals and cares for the forest. He is at odds with a forester who wants to cut down all the trees, and wants any impediments (like Uncle John and the boy) removed."
"Son of Lassie",1945,"Pal (credited as Lassie)Peter Lawford Donald Crisp June Lockhart Nigel Bruce","S. Sylvan Simon","United States","English","In Yorkshire, England, at the estate of the Duke of Rudling (Nigel Bruce), the British Army converted the grounds into a training camp for war dogs. The camp is placed under the supervision of Sam Carraclough (Donald Crisp), the kennel caretaker, who immediately begins the process of selecting the best dogs for training, including Laddie, the young pup of the champion collie, Lassie. Joe Carraclough (Peter Lawford), now an adult, joins the Royal Air Force (RAF) during the Second World War. Departing for training school, he is forced to leave behind his dog Lassie and her pup, Laddie."
"The Three Caballeros",1944,"Clarence Nash José Oliveira Joaquin Garay","Norman Ferguson (supervising director)Clyde Geronimi Jack Kinney Bill Roberts Harold Young (sequence directors)","United States","English Spanish Portuguese","The film consists of seven segments, each connected by a common theme. In the film, it is Donald Duck's birthday (namely Friday the 13th), and he receives three presents from friends in Latin America. The first present is a film projector, which shows him a documentary about birds. During the documentary, he learns about the Aracuan Bird, who received his name because of his eccentric song. The Aracuan also makes several appearances throughout the film."
"Courage of Lassie",1946,"Pal (credited as ""Lassie"")Elizabeth Taylor Frank Morgan Harry Davenport Selena Royle Tom Drake George Cleveland","Fred M. Wilcox","United States","English","A collie pup is separated from his mother and grows to young adulthood in the forest. After being swept away in a torrent and then shot by a young hunter, he is found by Kathie Merrick (Elizabeth Taylor) and carried to her home. With the help of a kindly shepherd, Mr. Mac Bain (Frank Morgan), she tends him back to health, names him Bill, and teaches him to herd sheep."
"Make Mine Music",1946,"Nelson Eddy Dinah Shore Benny Goodman The Andrews Sisters Jerry Colonna Sterling Holloway Andy Russell David Lichine Tania Riabouchinskaya The Pied Pipers The King's Men The Ken Darby Chorus","Jack Kinney Clyde Geronimi Hamilton Luske Joshua Meador Robert Cormack","United States","English",NA
"Song of the South",1946,"James Baskett Bobby Driscoll Luana Patten Ruth Warrick Lucile Watson Hattie Mc Daniel","Live action:Harve Foster Animation:Wilfred Jackson","United States","English","7-year-old Johnny (Bobby Driscoll) is excited about what he believes to be a vacation at his grandmother's Georgia plantation with his parents, John Sr. (Erik Rolf) and Sally (Ruth Warrick). When they arrive at the plantation, he discovers that his parents will be living apart for a while, and he is to live at the plantation with his mother and grandmother (Lucile Watson) while his father returns to Atlanta to continue his controversial editorship in the city's newspaper. Johnny, distraught because of his father's departure, secretly sets off that night for Atlanta with only a bindle."
"The Yearling",1946,"Gregory Peck Jane Wyman Claude Jarman Jr.","Clarence Brown","United States","English","Ezra ""Penny"" Baxter (Gregory Peck), once a Confederate soldier, and his wife Ora (Jane Wyman), are pioneer farmers near Lake George, Florida in 1878. Their son, Jody (Claude Jarman Jr.), a boy in his pre-teen years, is their only surviving child. Jody has a wonderful relationship with his warm and loving father. Ora, however, is still haunted by the deaths of the three other children of the family. She is very somber, and is afraid that Jody will end up dying if she shows her parental love to him. Jody finds her somewhat unloving and unreasonable."
"Bush Christmas",1947,"Chips Rafferty John Fernside","Ralph Smart","Australia United Kingdom","English","In the Australian countryside, five children are best friends, including a set of siblings, an English war evacuee, and aboriginal Neza. They boast to three strangers, Long Bill (Chips Rafferty), Jim (John Fernside) and Blue (Stan Tolhurst), about the mare belonging to the father of one of them. The next day the mare has gone. Suspecting the three men of stealing it, the children set off to recover it."
"Fun and Fancy Free",1947,"Cliff Edwards Edgar Bergen Luana Patten Walt Disney Clarence Nash Pinto Colvig Billy Gilbert Anita Gordon","Jack Kinney (animation)Bill Roberts (animation)Hamilton Luske (animation)William Morgan (live-action)","United States","English","Jiminy Cricket first appears inside a large plant in a large house, exploring and singing ""I'm a Happy-go-Lucky Fellow"", until he happens to stumble upon a doll, a teddy bear, and a record player with some records, one of which is Bongo, a musical romance story narrated by actress Dinah Shore. Jiminy decides to set up the record player to play the story of Bongo. The story follows the adventures of a circus bear named Bongo who wishes he could live freely in the wild. Bongo is raised in captivity and is praised for his performances, but is poorly treated once he is off stage. As such, while traveling by a circus train his natural instincts urge him to break free. As soon as he escapes and enters a forest, a day passes before his idealistic assessment of his new living situation has been emotionally shattered and he experiences some hard conditions. The next morning however, he meets a female bear named Lulubelle. The two fall in love, until Bongo immediately faces a romantic rival in the brutish, enormously-shaped bear named Lumpjaw. Bongo fails to interpret Lulubelle slapping him as a sign of affection and when she accidentally slaps Lumpjaw, he claims her for himself, forcing all other bears into a celebration for the ""happy"" new couple. Bongo comes to understand the meaning of slapping one another among wild bears and returns to challenge Lumpjaw. He manages to outwit Lumpjaw for much of their fight until the two fall into a river and go over a waterfall. While Lumpjaw is swept away and dies, Bongo's hat saves him from falling down and he finally can claim Lulubelle as his mate."
"Miracle on 34th Street",1947,"Maureen O'Hara John Payne Natalie Wood Edmund Gwenn","George Seaton","United States","English","Kris Kringle (Edmund Gwenn) is indignant to find that the man (Percy Helton) assigned to play Santa in the annual Macy's Thanksgiving Day Parade is intoxicated. When he complains to event director Doris Walker (Maureen O'Hara), she persuades Kris to take his place. He does so well, he is hired to play Santa at Macy's flagship New York City store on 34th Street."
"The Boy with Green Hair",1948,"Robert Ryan Pat O'Brien Dean Stockwell","Joseph Losey","United States","English","Finding a curiously silent young runaway boy (Dean Stockwell) whose head has been completely shaved, small-town police call in a psychologist (Robert Ryan) and discover that he is a war orphan named Peter Fry. Moving in with an understanding retired actor named Gramps (Pat O'Brien), Peter starts attending school and generally begins living the life of a normal boy until his class gets involved with trying to help war orphans in Europe and Asia."
"Hills of Home",1948,"Pal (credited as ""Lassie"")Edmund Gwenn Donald Crisp Tom Drake Janet Leigh","Fred M. Wilcox","United States","English","Dr. William Mac Lure (Edmund Gwenn) a Scottish doctor, adopts Lassie, who has an unnatural aversion to water. The Dr. tries to cure Lassie of her fears, but she remains water-shy."
"Melody Time",1948,"Roy Rogers Trigger Dennis Day The Andrews Sisters Fred Waring and the Pennsylvanians Freddy Martin Ethel Smith Frances Langford Buddy Clark Bob Nolan Sons of the Pioneers The Dinning Sisters Bobby Driscoll Luana Patten","Jack Kinney Clyde Geronimi Hamilton Luske Wilfred Jackson","United States","English","According to Disney, the film's plot is as follows: ""In the grand tradition of Disney's greatest musical classics, such as FANTASIA, MELODY TIME features seven classic stories, each enhanced with high-spirited music and unforgettale characters...[A] feast for the eyes and ears [full of] wit and charm...a delightful Disney classic with something for everyone"".[3] Rose Pelswick, in a 1948 review for The News-Sentinel, described the film as an 'adventure into the intriguing make-believe world people by Walt Disney's Cartoon characters"". It also explains that ""with the off-screen voice of Buddy Clark doing the introductions, the...episodes include fantasy, folklore, South American rhythms, poetry, and slapstick"".[4] A 1948 review by the Pittsburgh Post-Gazette described it as a ""mixture of fantasy, abstraction, parable, music, color, and movement"".[5]"
"The Adventures of Ichabod and
Mr. Toad",1949,"Eric Blore Pat O'Malley Colin Campbell John Mc Leish Campbell Grant Claude Allister Leslie Denison Edmond Stevens The Rhythmaires","Jack Kinney Clyde Geronimi James Algar","United States","English",NA
"Alice in Wonderland",1949,"Stephen Murray Carol Marsh Raymond Bussières","Dallas Bower","France",NA,NA
"Challenge to Lassie",1949,"Donald Crisp Edmund Gwenn Geraldine Brooks Pal (credited as ""Lassie"")","Richard Thorpe","United States","English","Jock Gray (Donald Crisp) raises his collie Lassie to be an extraordinary sheep dog and companion. When he is beaten to death by robbers after he retires, Lassie keeps vigil over his grave and refuses to let anyone else take ownership of her. However, the law requires that all dogs be leashed and licensed by a legal owner. With no owner to pay her license and her only ""home"" being the church graveyard, Lassie faces an uncertain future."
