country_entity_name,adjectivals,demonyms,adjectivals_unnested,demonyms_unnested
french polynesia,french polynesian,french polynesians,polynesian,polynesians
french southern territories,french southern territories,french,french,french
french southern territories,french southern territories,french,southern,french
french southern territories,french southern territories,french,territories,french
gabon,gabonese,"gabonese, gabonaise",gabonese,gabonese
gabon,gabonese,"gabonese, gabonaise",gabonese,gabonaise
"gambia, the",gambian,gambians,gambian,gambians
georgia,georgian,georgians,georgian,georgians
germany,german,germans,german,germans
ghana,ghanaian,ghanaians,ghanaian,ghanaians
gibraltar,gibraltar,gibraltarians,gibraltar,gibraltarians
greece,"greek, hellenic","greeks, hellenes",greek,greeks
greece,"greek, hellenic","greeks, hellenes",greek,hellenes
greece,"greek, hellenic","greeks, hellenes",hellenic,greeks
greece,"greek, hellenic","greeks, hellenes",hellenic,hellenes
greenland,greenlandic,greenlanders,greenlandic,greenlanders
grenada,grenadian,grenadians,grenadian,grenadians
guadeloupe,guadeloupe,"guadeloupians, guadeloupeans",guadeloupe,guadeloupians
guadeloupe,guadeloupe,"guadeloupians, guadeloupeans",guadeloupe,guadeloupeans
guam,guamanian,guamanians,guamanian,guamanians
guatemala,guatemalan,guatemalans,guatemalan,guatemalans
guernsey,channel island,channel islanders,channel,channel
guernsey,channel island,channel islanders,channel,islanders
guernsey,channel island,channel islanders,island,channel
guernsey,channel island,channel islanders,island,islanders
guinea,guinean,guineans,guinean,guineans
guinea-bissau,bissau-guinean,bissau-guineans,bissau-guinean,bissau-guineans
guyana,guyanese,guyanese,guyanese,guyanese
haiti,haitian,haitians,haitian,haitians
heard island and mcdonald islands,heard island or mcdonald islands,heard islanders or mcdonald islander,heard,heard
heard island and mcdonald islands,heard island or mcdonald islands,heard islanders or mcdonald islander,heard,islanders
heard island and mcdonald islands,heard island or mcdonald islands,heard islanders or mcdonald islander,heard,mcdonald
heard island and mcdonald islands,heard island or mcdonald islands,heard islanders or mcdonald islander,heard,islander
heard island and mcdonald islands,heard island or mcdonald islands,heard islanders or mcdonald islander,island,heard
heard island and mcdonald islands,heard island or mcdonald islands,heard islanders or mcdonald islander,island,islanders
heard island and mcdonald islands,heard island or mcdonald islands,heard islanders or mcdonald islander,island,mcdonald
heard island and mcdonald islands,heard island or mcdonald islands,heard islanders or mcdonald islander,island,islander
heard island and mcdonald islands,heard island or mcdonald islands,heard islanders or mcdonald islander,mcdonald,heard
heard island and mcdonald islands,heard island or mcdonald islands,heard islanders or mcdonald islander,mcdonald,islanders
heard island and mcdonald islands,heard island or mcdonald islands,heard islanders or mcdonald islander,mcdonald,mcdonald
heard island and mcdonald islands,heard island or mcdonald islands,heard islanders or mcdonald islander,mcdonald,islander
heard island and mcdonald islands,heard island or mcdonald islands,heard islanders or mcdonald islander,islands,heard
heard island and mcdonald islands,heard island or mcdonald islands,heard islanders or mcdonald islander,islands,islanders
heard island and mcdonald islands,heard island or mcdonald islands,heard islanders or mcdonald islander,islands,mcdonald
heard island and mcdonald islands,heard island or mcdonald islands,heard islanders or mcdonald islander,islands,islander
honduras,honduran,hondurans,honduran,hondurans
hong kong,"hong kong, cantonese, hong konger","hongkongers, hong kongese",hong,hongkongers
hong kong,"hong kong, cantonese, hong konger","hongkongers, hong kongese",hong,hong
hong kong,"hong kong, cantonese, hong konger","hongkongers, hong kongese",hong,kongese
hong kong,"hong kong, cantonese, hong konger","hongkongers, hong kongese",kong,hongkongers
hong kong,"hong kong, cantonese, hong konger","hongkongers, hong kongese",kong,hong
hong kong,"hong kong, cantonese, hong konger","hongkongers, hong kongese",kong,kongese
hong kong,"hong kong, cantonese, hong konger","hongkongers, hong kongese",cantonese,hongkongers
hong kong,"hong kong, cantonese, hong konger","hongkongers, hong kongese",cantonese,hong
hong kong,"hong kong, cantonese, hong konger","hongkongers, hong kongese",cantonese,kongese
hong kong,"hong kong, cantonese, hong konger","hongkongers, hong kongese",hong,hongkongers
hong kong,"hong kong, cantonese, hong konger","hongkongers, hong kongese",hong,hong
hong kong,"hong kong, cantonese, hong konger","hongkongers, hong kongese",hong,kongese
hong kong,"hong kong, cantonese, hong konger","hongkongers, hong kongese",konger,hongkongers
hong kong,"hong kong, cantonese, hong konger","hongkongers, hong kongese",konger,hong
hong kong,"hong kong, cantonese, hong konger","hongkongers, hong kongese",konger,kongese
hungary,"hungarian, magyar","hungarians, magyars",hungarian,hungarians
hungary,"hungarian, magyar","hungarians, magyars",hungarian,magyars
hungary,"hungarian, magyar","hungarians, magyars",magyar,hungarians
hungary,"hungarian, magyar","hungarians, magyars",magyar,magyars
iceland,icelandic,icelanders,icelandic,icelanders
india,indian,indians,indian,indians
indonesia,indonesian,indonesians,indonesian,indonesians
"iran, islamic republic of","iranian, persian","iranians, persians",iranian,iranians
"iran, islamic republic of","iranian, persian","iranians, persians",iranian,persians
"iran, islamic republic of","iranian, persian","iranians, persians",persian,iranians
"iran, islamic republic of","iranian, persian","iranians, persians",persian,persians
iraq,iraqi,iraqis,iraqi,iraqis
ireland,irish,"irish, irishmen/irishwomen",irish,irish
ireland,irish,"irish, irishmen/irishwomen",irish,irishmen
ireland,irish,"irish, irishmen/irishwomen",irish,irishwomen
isle of man,manx,manx,manx,manx
israel,"israeli, israelite",israelis,israeli,israelis
israel,"israeli, israelite",israelis,israelite,israelis
italy,italian,italians,italian,italians
ivory coast,ivorian,ivorians,ivorian,ivorians
jamaica,jamaican,jamaicans,jamaican,jamaicans
jan mayen,jan mayen,jan mayen residents,jan,jan
jan mayen,jan mayen,jan mayen residents,jan,mayen
jan mayen,jan mayen,jan mayen residents,jan,residents
jan mayen,jan mayen,jan mayen residents,mayen,jan
jan mayen,jan mayen,jan mayen residents,mayen,mayen
jan mayen,jan mayen,jan mayen residents,mayen,residents
japan,japanese,japanese,japanese,japanese
jersey,channel island,channel islanders,channel,channel
jersey,channel island,channel islanders,channel,islanders
jersey,channel island,channel islanders,island,channel
jersey,channel island,channel islanders,island,islanders
jordan,jordanian,jordanians,jordanian,jordanians
kazakhstan,"kazakhstani, kazakh","kazakhstanis, kazakhs",kazakhstani,kazakhstanis
kazakhstan,"kazakhstani, kazakh","kazakhstanis, kazakhs",kazakhstani,kazakhs
kazakhstan,"kazakhstani, kazakh","kazakhstanis, kazakhs",kazakh,kazakhstanis
kazakhstan,"kazakhstani, kazakh","kazakhstanis, kazakhs",kazakh,kazakhs
kenya,kenyan,kenyans,kenyan,kenyans
kiribati,i-kiribati,i-kiribati,i-kiribati,i-kiribati
"korea, democratic people's republic of",north korean,koreans,north,koreans
"korea, democratic people's republic of",north korean,koreans,korean,koreans
"korea, republic of",south korean,koreans,south,koreans
"korea, republic of",south korean,koreans,korean,koreans
kosovo,"kosovar, kosovan",kosovars,kosovar,kosovars
kosovo,"kosovar, kosovan",kosovars,kosovan,kosovars
kuwait,kuwaiti,kuwaitis,kuwaiti,kuwaitis
kyrgyzstan,"kyrgyzstani, kyrgyz, kirgiz, kirghiz","kyrgyzstanis, kyrgyz, kirgiz, kirghiz",kyrgyzstani,kyrgyzstanis
kyrgyzstan,"kyrgyzstani, kyrgyz, kirgiz, kirghiz","kyrgyzstanis, kyrgyz, kirgiz, kirghiz",kyrgyzstani,kyrgyz
kyrgyzstan,"kyrgyzstani, kyrgyz, kirgiz, kirghiz","kyrgyzstanis, kyrgyz, kirgiz, kirghiz",kyrgyzstani,kirgiz
kyrgyzstan,"kyrgyzstani, kyrgyz, kirgiz, kirghiz","kyrgyzstanis, kyrgyz, kirgiz, kirghiz",kyrgyzstani,kirghiz
kyrgyzstan,"kyrgyzstani, kyrgyz, kirgiz, kirghiz","kyrgyzstanis, kyrgyz, kirgiz, kirghiz",kyrgyz,kyrgyzstanis
kyrgyzstan,"kyrgyzstani, kyrgyz, kirgiz, kirghiz","kyrgyzstanis, kyrgyz, kirgiz, kirghiz",kyrgyz,kyrgyz
kyrgyzstan,"kyrgyzstani, kyrgyz, kirgiz, kirghiz","kyrgyzstanis, kyrgyz, kirgiz, kirghiz",kyrgyz,kirgiz
kyrgyzstan,"kyrgyzstani, kyrgyz, kirgiz, kirghiz","kyrgyzstanis, kyrgyz, kirgiz, kirghiz",kyrgyz,kirghiz
kyrgyzstan,"kyrgyzstani, kyrgyz, kirgiz, kirghiz","kyrgyzstanis, kyrgyz, kirgiz, kirghiz",kirgiz,kyrgyzstanis
kyrgyzstan,"kyrgyzstani, kyrgyz, kirgiz, kirghiz","kyrgyzstanis, kyrgyz, kirgiz, kirghiz",kirgiz,kyrgyz
kyrgyzstan,"kyrgyzstani, kyrgyz, kirgiz, kirghiz","kyrgyzstanis, kyrgyz, kirgiz, kirghiz",kirgiz,kirgiz
kyrgyzstan,"kyrgyzstani, kyrgyz, kirgiz, kirghiz","kyrgyzstanis, kyrgyz, kirgiz, kirghiz",kirgiz,kirghiz
kyrgyzstan,"kyrgyzstani, kyrgyz, kirgiz, kirghiz","kyrgyzstanis, kyrgyz, kirgiz, kirghiz",kirghiz,kyrgyzstanis
kyrgyzstan,"kyrgyzstani, kyrgyz, kirgiz, kirghiz","kyrgyzstanis, kyrgyz, kirgiz, kirghiz",kirghiz,kyrgyz
kyrgyzstan,"kyrgyzstani, kyrgyz, kirgiz, kirghiz","kyrgyzstanis, kyrgyz, kirgiz, kirghiz",kirghiz,kirgiz
kyrgyzstan,"kyrgyzstani, kyrgyz, kirgiz, kirghiz","kyrgyzstanis, kyrgyz, kirgiz, kirghiz",kirghiz,kirghiz
lao people's democratic republic,"lao, laotian","laos, laotians",lao,laos
lao people's democratic republic,"lao, laotian","laos, laotians",lao,laotians
lao people's democratic republic,"lao, laotian","laos, laotians",laotian,laos
lao people's democratic republic,"lao, laotian","laos, laotians",laotian,laotians
latvia,"latvian, lettish","latvians, letts",latvian,latvians
latvia,"latvian, lettish","latvians, letts",latvian,letts
latvia,"latvian, lettish","latvians, letts",lettish,latvians
latvia,"latvian, lettish","latvians, letts",lettish,letts
lebanon,lebanese,lebanese,lebanese,lebanese
lesotho,basotho,basotho singular mosotho,basotho,basotho
lesotho,basotho,basotho singular mosotho,basotho,singular
lesotho,basotho,basotho singular mosotho,basotho,mosotho
liberia,liberian,liberians,liberian,liberians
libya,libyan,libyans,libyan,libyans
liechtenstein,liechtensteiner,liechtensteiners,liechtensteiner,liechtensteiners
lithuania,lithuanian,lithuanians,lithuanian,lithuanians
luxembourg,"luxembourg, luxembourgish",luxembourgers,luxembourg,luxembourgers
luxembourg,"luxembourg, luxembourgish",luxembourgers,luxembourgish,luxembourgers
macau,macanese,"macanese, chinese",macanese,macanese
macau,macanese,"macanese, chinese",macanese,chinese
north macedonia,macedonian,macedonians,macedonian,macedonians
madagascar,malagasy,malagasy,malagasy,malagasy
malawi,malawian,malawians,malawian,malawians
malaysia,malaysian,malaysians,malaysian,malaysians
maldives,maldivian,maldivians,maldivian,maldivians
mali,"malian, malinese",malians,malian,malians
mali,"malian, malinese",malians,malinese,malians
malta,maltese,maltese,maltese,maltese
marshall islands,marshallese,marshallese,marshallese,marshallese
martinique,"martiniquais, martinican",martiniquais/martiniquaises,martiniquais,martiniquais
martinique,"martiniquais, martinican",martiniquais/martiniquaises,martiniquais,martiniquaises
martinique,"martiniquais, martinican",martiniquais/martiniquaises,martinican,martiniquais
martinique,"martiniquais, martinican",martiniquais/martiniquaises,martinican,martiniquaises
mauritania,mauritanian,mauritanians,mauritanian,mauritanians
mauritius,mauritian,mauritians,mauritian,mauritians
mayotte,mahoran,mahorans,mahoran,mahorans
mexico,mexican,mexicans,mexican,mexicans
"micronesia, federated states of",micronesian,micronesians,micronesian,micronesians
moldova,moldovan,moldovans,moldovan,moldovans
monaco,"monégasque, monacan","monégasques, monacans",monégasque,monégasques
monaco,"monégasque, monacan","monégasques, monacans",monégasque,monacans
monaco,"monégasque, monacan","monégasques, monacans",monacan,monégasques
monaco,"monégasque, monacan","monégasques, monacans",monacan,monacans
mongolia,mongolian,"mongolians, mongols",mongolian,mongolians
mongolia,mongolian,"mongolians, mongols",mongolian,mongols
montenegro,montenegrin,montenegrins,montenegrin,montenegrins
montserrat,montserratian,montserratians,montserratian,montserratians
morocco,moroccan,moroccans,moroccan,moroccans
mozambique,mozambican,mozambicans,mozambican,mozambicans
myanmar,burmese,"burmese, bamar",burmese,burmese
myanmar,burmese,"burmese, bamar",burmese,bamar
namibia,namibian,namibians,namibian,namibians
nauru,nauruan,nauruans,nauruan,nauruans
nepal,"nepali, nepalese","nepali, nepalese",nepali,nepali
nepal,"nepali, nepalese","nepali, nepalese",nepali,nepalese
nepal,"nepali, nepalese","nepali, nepalese",nepalese,nepali
nepal,"nepali, nepalese","nepali, nepalese",nepalese,nepalese
netherlands,"dutch, netherlandic","dutch, dutchmen/dutchwomen, netherlanders",dutch,dutch
netherlands,"dutch, netherlandic","dutch, dutchmen/dutchwomen, netherlanders",dutch,dutchmen
netherlands,"dutch, netherlandic","dutch, dutchmen/dutchwomen, netherlanders",dutch,dutchwomen
netherlands,"dutch, netherlandic","dutch, dutchmen/dutchwomen, netherlanders",dutch,netherlanders
netherlands,"dutch, netherlandic","dutch, dutchmen/dutchwomen, netherlanders",netherlandic,dutch
netherlands,"dutch, netherlandic","dutch, dutchmen/dutchwomen, netherlanders",netherlandic,dutchmen
netherlands,"dutch, netherlandic","dutch, dutchmen/dutchwomen, netherlanders",netherlandic,dutchwomen
netherlands,"dutch, netherlandic","dutch, dutchmen/dutchwomen, netherlanders",netherlandic,netherlanders
new caledonia,new caledonian,new caledonians,new,new
new caledonia,new caledonian,new caledonians,new,caledonians
new caledonia,new caledonian,new caledonians,caledonian,new
new caledonia,new caledonian,new caledonians,caledonian,caledonians
new zealand,"new zealand, new zealandic",new zealanders,new,new
new zealand,"new zealand, new zealandic",new zealanders,new,zealanders
new zealand,"new zealand, new zealandic",new zealanders,zealand,new
new zealand,"new zealand, new zealandic",new zealanders,zealand,zealanders
new zealand,"new zealand, new zealandic",new zealanders,new,new
new zealand,"new zealand, new zealandic",new zealanders,new,zealanders
new zealand,"new zealand, new zealandic",new zealanders,zealandic,new
new zealand,"new zealand, new zealandic",new zealanders,zealandic,zealanders
nicaragua,nicaraguan,nicaraguans,nicaraguan,nicaraguans
niger,nigerien,nigeriens,nigerien,nigeriens
nigeria,nigerian,nigerians,nigerian,nigerians
niue,niuean,niueans,niuean,niueans
norfolk island,norfolk island,norfolk islanders,norfolk,norfolk
norfolk island,norfolk island,norfolk islanders,norfolk,islanders
norfolk island,norfolk island,norfolk islanders,island,norfolk
norfolk island,norfolk island,norfolk islanders,island,islanders
northern ireland,northern irish,"northern irish, northern irishmen/northern irishwomen",northern,northern
northern ireland,northern irish,"northern irish, northern irishmen/northern irishwomen",northern,irish
northern ireland,northern irish,"northern irish, northern irishmen/northern irishwomen",northern,northern
northern ireland,northern irish,"northern irish, northern irishmen/northern irishwomen",northern,irishmen
northern ireland,northern irish,"northern irish, northern irishmen/northern irishwomen",northern,northern
northern ireland,northern irish,"northern irish, northern irishmen/northern irishwomen",northern,irishwomen
northern ireland,northern irish,"northern irish, northern irishmen/northern irishwomen",irish,northern
northern ireland,northern irish,"northern irish, northern irishmen/northern irishwomen",irish,irish
northern ireland,northern irish,"northern irish, northern irishmen/northern irishwomen",irish,northern
northern ireland,northern irish,"northern irish, northern irishmen/northern irishwomen",irish,irishmen
northern ireland,northern irish,"northern irish, northern irishmen/northern irishwomen",irish,northern
northern ireland,northern irish,"northern irish, northern irishmen/northern irishwomen",irish,irishwomen
northern mariana islands,northern marianan,northern marianans,northern,northern
northern mariana islands,northern marianan,northern marianans,northern,marianans
northern mariana islands,northern marianan,northern marianans,marianan,northern
northern mariana islands,northern marianan,northern marianans,marianan,marianans
norway,norwegian,norwegians,norwegian,norwegians
oman,omani,omanis,omani,omanis
pakistan,pakistani,pakistanis,pakistani,pakistanis
palau,palauan,palauans,palauan,palauans
palestine,palestinian,palestinians,palestinian,palestinians
panama,panamanian,panamanians,panamanian,panamanians
papua new guinea,"papua new guinean, papuan","papua new guineans, papuans",papua,papua
papua new guinea,"papua new guinean, papuan","papua new guineans, papuans",papua,new
papua new guinea,"papua new guinean, papuan","papua new guineans, papuans",papua,guineans
papua new guinea,"papua new guinean, papuan","papua new guineans, papuans",papua,papuans
papua new guinea,"papua new guinean, papuan","papua new guineans, papuans",new,papua
papua new guinea,"papua new guinean, papuan","papua new guineans, papuans",new,new
papua new guinea,"papua new guinean, papuan","papua new guineans, papuans",new,guineans
papua new guinea,"papua new guinean, papuan","papua new guineans, papuans",new,papuans
papua new guinea,"papua new guinean, papuan","papua new guineans, papuans",guinean,papua
papua new guinea,"papua new guinean, papuan","papua new guineans, papuans",guinean,new
papua new guinea,"papua new guinean, papuan","papua new guineans, papuans",guinean,guineans
papua new guinea,"papua new guinean, papuan","papua new guineans, papuans",guinean,papuans
papua new guinea,"papua new guinean, papuan","papua new guineans, papuans",papuan,papua
papua new guinea,"papua new guinean, papuan","papua new guineans, papuans",papuan,new
papua new guinea,"papua new guinean, papuan","papua new guineans, papuans",papuan,guineans
papua new guinea,"papua new guinean, papuan","papua new guineans, papuans",papuan,papuans
paraguay,paraguayan,paraguayans,paraguayan,paraguayans
peru,peruvian,peruvians,peruvian,peruvians
philippines,"filipino, philippine",filipinos/filipinas,filipino,filipinos
philippines,"filipino, philippine",filipinos/filipinas,filipino,filipinas
